payload_bytes,connections,noretina_gbps,perf_array_gbps,ring_buffer_gbps,winner,perf_retina_cpu,ring_retina_cpu,noretina_errors,perf_conn_errors,ring_conn_errors
1024,165,5.00,1.40,1.33,no-retina,70m,80m,1855,1855,1855
8192,165,14.77,14.73,9.42,no-retina,4m,71m,1855,1855,1855
65536,165,14.80,14.73,14.78,no-retina,70m,6m,1855,1855,1855
