payload_bytes,connections,noretina_gbps,perf_array_gbps,ring_buffer_gbps,winner,perf_retina_cpu,ring_retina_cpu,noretina_errors,perf_conn_errors,ring_conn_errors
1024,165,2.84,0.74,0.97,no-retina,5174m,45m,1855,1855,1855
8192,165,14.78,5.21,14.54,no-retina,4509m,40m,1855,1855,1855
65536,165,14.78,14.76,14.77,no-retina,6m,41m,1855,1855,1855
