payload_bytes,connections,noretina_gbps,perf_array_gbps,ring_buffer_gbps,winner,perf_retina_cpu,ring_retina_cpu,noretina_errors,perf_conn_errors,ring_conn_errors
1024,165,2.81,0.80,0.99,no-retina,45m,43m,1855,1855,1855
8192,165,14.75,5.00,6.94,no-retina,4596m,41m,1855,1855,1855
65536,165,14.79,14.76,14.79,no-retina,43m,5080m,1855,1855,1855
